date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:43:49	138993/138993	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Sep%202025%2003:43:46%20GMT	https://www.playsport.cc/predict/scale?allianceid=1&from=header	D:/KevinC/web/sgame/www.playsport.cc/predict/scale6005.html	(from https://www.playsport.cc/forum?redirect_from=indexPage)
11:43:50	167637/167637	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Sep%202025%2003:43:46%20GMT	https://www.playsport.cc/forum?from=header	D:/KevinC/web/sgame/www.playsport.cc/forumaa3c.html	(from https://www.playsport.cc/forum?redirect_from=indexPage)
11:43:51	35369/35369	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Sep%202025%2003:43:48%20GMT	https://www.playsport.cc/buyPredict/medalFire/1?from=header	D:/KevinC/web/sgame/www.playsport.cc/buyPredict/medalFire/1aa3c.html	(from https://www.playsport.cc/forum?redirect_from=indexPage)
11:43:51	52310/52310	---MC-	200	added ('OK')	text/javascript	date:Tue,%2015%20Jul%202025%2000:44:26%20GMT	http://www.google-analytics.com/analytics.js	D:/KevinC/web/sgame/www.google-analytics.com/analytics.js	(from https://www.playsport.cc/forum?redirect_from=indexPage)
11:43:51	35376/35376	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Sep%202025%2003:43:49%20GMT	https://www.playsport.cc/buyPredict/medalFire/1?ck=1&from=header	D:/KevinC/web/sgame/www.playsport.cc/buyPredict/medalFire/1c2b9.html	(from https://www.playsport.cc/forum?redirect_from=indexPage)
11:43:51	484216/484216	---MC-	200	added ('OK')	application/javascript	date:Tue,%2016%20Sep%202025%2003:43:41%20GMT	https://www.googletagmanager.com/gtag/js?id=G-C8806X8QRW	D:/KevinC/web/sgame/www.googletagmanager.com/gtag/js59bc	(from https://www.playsport.cc/forum?redirect_from=indexPage)
11:43:51	38494/38494	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Sep%202025%2003:43:50%20GMT	https://www.playsport.cc/buyPredict/singleKiller/1?ck=2&from=header	D:/KevinC/web/sgame/www.playsport.cc/buyPredict/singleKiller/1fc33.html	(from https://www.playsport.cc/forum?redirect_from=indexPage)
11:43:51	88685/88685	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Sep%202025%2003:43:50%20GMT	https://www.playsport.cc/billboard/winRate?allianceid=1&from=header	D:/KevinC/web/sgame/www.playsport.cc/billboard/winRate6005.html	(from https://www.playsport.cc/forum?redirect_from=indexPage)
11:43:51	70792/70792	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Sep%202025%2003:43:50%20GMT	https://www.playsport.cc/billboard/mainPrediction?allianceid=1&from=header	D:/KevinC/web/sgame/www.playsport.cc/billboard/mainPrediction6005.html	(from https://www.playsport.cc/forum?redirect_from=indexPage)
11:43:52	394612/394612	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Sep%202025%2003:43:50%20GMT	https://www.playsport.cc/livescore/1?from=header	D:/KevinC/web/sgame/www.playsport.cc/livescore/1aa3c.html	(from https://www.playsport.cc/forum?redirect_from=indexPage)
11:43:52	301708/301708	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Sep%202025%2003:43:51%20GMT	https://www.playsport.cc/gamesData/battle?allianceid=1&from=header	D:/KevinC/web/sgame/www.playsport.cc/gamesData/battle6005.html	(from https://www.playsport.cc/forum?redirect_from=indexPage)
11:43:52	490025/490025	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Sep%202025%2003:43:51%20GMT	https://www.playsport.cc/gamesData/teams?allianceid=1&from=header	D:/KevinC/web/sgame/www.playsport.cc/gamesData/teams6005.html	(from https://www.playsport.cc/forum?redirect_from=indexPage)
11:43:53	43409/43409	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Sep%202025%2003:43:51%20GMT	https://www.playsport.cc/gamesData/standings/3?from=header	D:/KevinC/web/sgame/www.playsport.cc/gamesData/standings/3aa3c.html	(from https://www.playsport.cc/forum?redirect_from=indexPage)
11:43:53	113841/113841	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Sep%202025%2003:43:51%20GMT	https://www.playsport.cc/gamesData/result?allianceid=1	D:/KevinC/web/sgame/www.playsport.cc/gamesData/resulte177.html	(from https://www.playsport.cc/forum?redirect_from=indexPage)
11:43:53	43490/43490	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Sep%202025%2003:43:52%20GMT	https://www.playsport.cc/member/search	D:/KevinC/web/sgame/www.playsport.cc/member/search.html	(from https://www.playsport.cc/forum?redirect_from=indexPage)
11:43:53	6413/6413	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Sep%202025%2003:43:52%20GMT	https://www.playsport.cc/member/login	D:/KevinC/web/sgame/www.playsport.cc/member/login.html	(from https://www.playsport.cc/forum?redirect_from=indexPage)
11:43:54	26993/26993	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Sep%202025%2003:43:52%20GMT	https://www.playsport.cc/member/register	D:/KevinC/web/sgame/www.playsport.cc/member/register.html	(from https://www.playsport.cc/forum?redirect_from=indexPage)
11:43:54	16652/16652	---MCZ	200	added ('OK')	application/javascript	etag:W/%226762450f-410c%22	https://www.playsport.cc/includes/js/global.js?v=20210809	D:/KevinC/web/sgame/www.playsport.cc/includes/js/globala5b5.js	(from https://www.playsport.cc/forum?redirect_from=indexPage)
11:43:54	167708/167708	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Sep%202025%2003:43:53%20GMT	https://www.playsport.cc/forum?redirect_from=headerLogo	D:/KevinC/web/sgame/www.playsport.cc/forume4cf.html	(from https://www.playsport.cc/forum?redirect_from=indexPage)
11:43:54	3970/3970	---MCZ	200	added ('OK')	image/png	etag:W/%226762450a-f82%22	https://www.playsport.cc/images/logo.png	D:/KevinC/web/sgame/www.playsport.cc/images/logo.png	(from https://www.playsport.cc/forum?redirect_from=indexPage)
11:43:54	723/723	---MCZ	200	added ('OK')	application/javascript	etag:W/%226762450f-2d3%22	https://www.playsport.cc/includes/js/nagging-menu.js?v=20210809	D:/KevinC/web/sgame/www.playsport.cc/includes/js/nagging-menua5b5.js	(from https://www.playsport.cc/forum?redirect_from=indexPage)
11:43:55	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2016%20Sep%202025%2003:43:54%20GMT	https://apps.apple.com/app/apple-store/id730277109?pt=1952181&ct=web_head3title_defaultTitle&mt=8	D:/KevinC/web/sgame/apps.apple.com/app/apple-store/id730277109.267210.delayed	(from https://www.playsport.cc/forum?redirect_from=indexPage)
11:43:56	131393/131393	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Tue,%2016%20Sep%202025%2003:43:54%20GMT	https://apps.apple.com/us/app/%E7%8E%A9%E9%81%8B%E5%BD%A9%E8%A8%8E%E8%AB%96%E5%8D%80/id730277109?pt=1952181&ct=web_head3title_defaultTitle&mt=8	D:/KevinC/web/sgame/apps.apple.com/us/app/%e7%8e%a9%e9%81%8b%e5%bd%a9%e8%a8%8e%e8%ab%96%e5%8d%80/id7302771097210.html	(from https://www.playsport.cc/forum?redirect_from=indexPage)
11:43:56	22990/22990	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Sep%202025%2003:43:54%20GMT	https://www.playsport.cc/app_campaign.php?	D:/KevinC/web/sgame/www.playsport.cc/app_campaignd41d.html	(from https://www.playsport.cc/forum?redirect_from=indexPage)
11:43:56	111442/111442	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Sep%202025%2003:43:55%20GMT	https://www.playsport.cc/single_killer_rank.php?alliance=3	D:/KevinC/web/sgame/www.playsport.cc/single_killer_rankefb2.html	(from https://www.playsport.cc/forum?redirect_from=indexPage)
11:43:56	164978/164978	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Sep%202025%2003:43:55%20GMT	https://www.playsport.cc/forum/1	D:/KevinC/web/sgame/www.playsport.cc/forum/1.html	(from https://www.playsport.cc/forum?redirect_from=indexPage)
11:43:57	164791/164791	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Sep%202025%2003:43:55%20GMT	https://www.playsport.cc/forum/2	D:/KevinC/web/sgame/www.playsport.cc/forum/2.html	(from https://www.playsport.cc/forum?redirect_from=indexPage)
11:43:57	162433/162433	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Sep%202025%2003:43:55%20GMT	https://www.playsport.cc/forum/6	D:/KevinC/web/sgame/www.playsport.cc/forum/6.html	(from https://www.playsport.cc/forum?redirect_from=indexPage)
11:43:57	162210/162210	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Sep%202025%2003:43:56%20GMT	https://www.playsport.cc/forum/9	D:/KevinC/web/sgame/www.playsport.cc/forum/9.html	(from https://www.playsport.cc/forum?redirect_from=indexPage)
